Source,Target,Weight
pyqt4,csv,2
math,string,2
pyodbc,select,2
virtualenv,spyder,2
warnings,ipython,2
sqlite3,zlib,2
nltk,spyder,2
copy,distutils,2
pyqt4,numpy,2
twisted,pip,2
twisted,virtualenv,2
numeric,decimal,2
csv,types,2
simplejson,numpy,2
twisted,sqlalchemy,2
lxml,wxpython,2
lxml,py2exe,2
pip,tkinter,2
six,pip,2
pyaudio,pocketsphinx,2
numpy,pyaudio,2
ctypes,locale,2
pyqt,pickle,2
python-dateutil,pytz,2
pip,pyyaml,2
gdal,math,2
virtualenv,mercurial,2
pip,cmd,2
numpy,distutils,2
nltk,ssl,2
time,pygtk,2
orange,pandas,2
queue,tensorflow,2
ssl,socketserver,2
multiprocessing,pyodbc,2
pyodbc,pickle,2
html,base64,2
matplotlib,base64,2
twisted,pygtk,2
twisted,zope.interface,2
pygtk,zope.interface,2
pygtk,py2exe,2
zope.interface,py2exe,2
itertools,datetime,2
multiprocessing,ipython,2
multiprocessing,multiprocess,2
smtplib,ssl,2
pip,pygtk,2
pyparsing,json,2
gevent,tornado,2
io,pytables,2
virtualenv,pycairo,2
virtualenv,nose,2
rpy2,statsmodels,2
csv,pytables,2
mako,genshi,2
genshi,jinja2,2
virtualenv,pywin32,2
pygame,kivy,2
virtualenv,pyglet,2
networkx,json,2
scipy,pickle,2
gensim,scikit-learn,2
multiprocessing,sqlalchemy,2
pip,python-dateutil,2
warnings,ctypes,2
pyqt,tkinter,2
imread,opencv,2
scikit-learn,scikit-image,2
warnings,scikit-learn,2
hmac,string,2
numpy,base64,2
ctypes,types,2
io,warnings,2
logging,multiprocess,2
numpy,wxpython,2
opencv,wxpython,2
jinja2,bokeh,2
html,bokeh,2
csv,multiprocess,2
scipy,string,2
ipython,networkx,2
pandas,shapely,2
six,python-dateutil,2
numpy,biopython,2
cython,py2exe,2
pickle,sympy,2
timeit,string,2
cython,kivy,2
msvcrt,tkinter,2
msvcrt,py2exe,2
ipython,json,2
csv,difflib,2
pandas,difflib,2
lxml,difflib,2
pyyaml,jinja2,2
warnings,scipy,2
regex,subprocess,2
